session_test_id,vp_id,age,gender,trial_id,choice_reference,choice_non_reference,choice_answer,choice_time,choice_comment
abx_constant_phase_shift,1,21,female,square_b_1_02,reference,C1,correct,22857,
abx_constant_phase_shift,1,21,female,castanets_1_00,reference,C1,incorrect,39416,
abx_constant_phase_shift,1,21,female,square_a_1_01,reference,C1,correct,16391,
abx_constant_phase_shift,1,21,female,castanets_1_01,reference,C1,incorrect,18370,
abx_constant_phase_shift,1,21,female,square_b_1_01,reference,C1,correct,16225,
abx_constant_phase_shift,1,21,female,castanets_1_05,reference,C1,incorrect,42013,
abx_constant_phase_shift,1,21,female,square_b_1_04,reference,C1,correct,8429,
abx_constant_phase_shift,1,21,female,pnoise_1_03,reference,C1,incorrect,52104,
abx_constant_phase_shift,1,21,female,square_a_1_03,reference,C1,correct,8652,
abx_constant_phase_shift,1,21,female,castanets_1_04,reference,C1,correct,25119,
abx_constant_phase_shift,1,21,female,square_a_1_02,reference,C1,correct,12332,
abx_constant_phase_shift,1,21,female,castanets_1_02,reference,C1,incorrect,21430,
abx_constant_phase_shift,1,21,female,castanets_1_03,reference,C1,incorrect,37303,
abx_constant_phase_shift,1,21,female,pnoise_1_04,reference,C1,incorrect,31099,
abx_constant_phase_shift,1,21,female,pnoise_1_00,reference,C1,correct,35735,
abx_constant_phase_shift,1,21,female,hotelcalifornia_1_03,reference,C1,incorrect,57621,
abx_constant_phase_shift,1,21,female,pnoise_1_02,reference,C1,incorrect,30662,
abx_constant_phase_shift,1,21,female,square_b_1_00,reference,C1,correct,21006,
abx_constant_phase_shift,1,21,female,hotelcalifornia_1_01,reference,C1,correct,51510,
abx_constant_phase_shift,1,21,female,square_a_1_00,reference,C1,correct,15841,
abx_constant_phase_shift,1,21,female,hotelcalifornia_1_00,reference,C1,incorrect,44042,
abx_constant_phase_shift,1,21,female,square_b_1_05,reference,C1,correct,22907,
abx_constant_phase_shift,1,21,female,hotelcalifornia_1_05,reference,C1,incorrect,47125,
abx_constant_phase_shift,1,21,female,pnoise_1_05,reference,C1,incorrect,16387,
abx_constant_phase_shift,1,21,female,square_a_1_04,reference,C1,correct,22086,
abx_constant_phase_shift,1,21,female,square_b_1_03,reference,C1,correct,11756,
abx_constant_phase_shift,1,21,female,square_a_1_05,reference,C1,correct,18496,
